Quantity,Part,Link
1,10PCK SG90 Servo motors,https://www.amazon.com/gp/product/B09GFN98X9/ref=ox_sc_act_title_1?smid=A1PKC2PUMNR8VD&psc=1
2,BTS7960 Motor Driver 2pck,https://www.amazon.com/gp/product/B0D732VYGZ/ref=ox_sc_act_title_2?smid=A3AG45GXH6FGYX&psc=1
1,100pck zip ties,https://www.amazon.com/gp/product/B07R2JKWXV/ref=ox_sc_act_title_3?smid=A2ZYL5L94779BC&psc=1
1,Wire Stripper,https://www.amazon.com/gp/product/B073YG65N2/ref=ox_sc_act_title_4?smid=A26I79OO3YFR4X&psc=1
1,Screw terminal block connector 72pck,https://www.amazon.com/gp/product/B0D1GMMTZ5/ref=ox_sc_act_title_5?smid=A2UXHIGK0EM1ZO&psc=1
1,Rubber Grip Tape,https://www.amazon.com/gp/product/B0GYF6XZ47/ref=ox_sc_act_title_6?smid=A1J6D7UF4NTHDT&psc=1
1,Power Switch 5pck,https://www.amazon.com/gp/product/B07S1MV462/ref=ox_sc_act_title_7?smid=AVZNWT0O79W01&psc=1
1,XT60 Connector 6pk,https://www.amazon.com/gp/product/B0DB1LBGSH/ref=ox_sc_act_title_8?smid=A3FDRWQ9749CUZ&psc=1
1,Buck Converter 10pcs,https://www.amazon.com/gp/product/B0DKTMGBHL/ref=ox_sc_act_title_9?smid=A38CU2XC1RY0BO&psc=1
1,LCD Screen 3pck,https://www.amazon.com/gp/product/B0C1G9GBRZ/ref=ox_sc_act_title_10?smid=A1PKC2PUMNR8VD&psc=1
1,Distance sensor 5pck,https://www.amazon.com/gp/product/B09PG4HTT1/ref=ox_sc_act_title_11?smid=A1EV68LJIO4NII&psc=1
1,Electric Screwdriver set,https://www.amazon.com/gp/product/B0BLMQ8BXB/ref=ox_sc_act_title_12?smid=A2ZXT6R0FR7K6V&psc=1
1,Soldering Iron,https://www.amazon.com/gp/product/B0F61Q3129/ref=ox_sc_act_title_13?smid=AVCPYAKBSAH2N&psc=1
1,M3 Screw Kit Assortment,https://www.amazon.com/gp/product/B0GS8FZLTK/ref=ox_sc_act_title_14?smid=A1FA0UJGUNVMLI&psc=1
1,LiPo Battery Balance Charger,https://www.amazon.com/gp/product/B0FPDJP4GK/ref=ox_sc_act_title_15?smid=A3OUEA3BPILM2W&psc=1
1,2Pk 3S 2200mAh 11.1V 50C LiPo Battery,https://www.amazon.com/gp/product/B0BYNSH6Q7/ref=ox_sc_act_title_16?smid=A646DVGSXYMNH&psc=1
,,
ALREADY PURCHASED,,
1,Arduino UNO R3,
1,Arduino UNO R4 WiFi,
1,Raspberry Pi 3B+,
1,Bambu Lab P1S 3d Printer,
4,12V 1200rpm Motor,
1,840 pin breadboard,
1,M-M M-F F-F jumper wire assortment kit,
1,Caliper,
